name+version*,license*,Copyrights*,end-of-support,dependencies,language,repository,email,url
castor-core-1.3.3.jar,Apache-2.0,-,-,-,Java,-,-,-
castor-xml-1.3.3.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-dbcp-1.4.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-lang-2.6.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-logging-1.1.3.jar,Apache-2.0,-,-,-,Java,-,-,-
commons-pool-1.5.4.jar,Apache-2.0,-,-,-,Java,-,-,-
gwt-servlet-2.7.0.jar,Apache-2.0,Google,-,-,Java,-,-,http://www.gwtproject.org/
jcommon-1.0.15.jar,LGPL-3.0,JFree.org,-,-,Java,-,-,http://www.jfree.org/jcommon/
jetty-6.1.26.jar,Apache-2.0; EPL-1.0,mortbay.org,-,-,Java,-,-,org.mortbay.jetty
jetty-util-6.1.26.jar,Apache-2.0; EPL-1.0,mortbay.org,-,-,Java,-,-,org.mortbay.jetty
jfreechart-1.0.12.jar,LGPL-3.0,JFree.org,-,-,Java,-,-,http://www.jfree.org/jcommon/
log4j-1.2.16.jar,Apache-2.0,-,-,-,Java,-,-,-
prototype-1.6.0.2.js,MIT,Sam Stephenson,-,-,Javascript,https://github.com/prototypejs/prototype,-,http://prototypejs.org/download
servlet-api-2.5.jar,CDDL-1.0; GPL-2.0,-,-,-,Java,-,-,-
slf4j-api-1.5.11.jar,MIT,slf4j.org,-,-,Java,-,-,http://www.slf4j.org
slf4j-log4j12-1.5.11.jar,MIT,slf4j.org,-,-,Java,-,-,http://www.slf4j.org
xercesImpl-2.9.0.jar,Apache-2.0,-,-,-,Java,-,-,-
periferico-common,EUPL-1.2,CSI-Piemonte,-,-,Java,-,-,-
auth-dao,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
auth-model ,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
dbman,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
dbman-core,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI-Piemonte,-,-,Java,-,-,-
